"No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College"
"10,Mike Bibby\bibbymi01,PG,6-1,190,May 13 1978,us,3,Arizona"
"52,Chucky Brown\brownch01,SF,6-7,214,February 29 1968,us,12,NC State"
"13,Doug Christie\chrisdo01,SG,6-6,200,May 9 1970,us,9,Pepperdine"
"8,Mateen Cleaves\cleavma01,PG,6-2,205,September 7 1977,us,1,Michigan State"
"21,Vlade Divac\divacvl01,C,7-1,243,February 3 1968,rs,12,"
"51,Lawrence Funderburke\fundela01,PF,6-9,230,December 15 1970,us,4,Indiana Ohio State"
"24,Bobby Jackson\jacksbo01,PG,6-1,185,March 13 1973,us,4,Minnesota"
"31,Scot Pollard\pollasc01,C,6-11,265,February 12 1975,us,4,Kansas"
"25,Brent Price\pricebr01,PG,6-1,165,December 9 1968,us,8,South Carolina Oklahoma"
"52,Jabari Smith\smithja01,C,6-11,250,February 12 1977,us,1,LSU"
"16,Peja Stojaković\stojape01,SF,6-10,229,June 9 1977,hr,3,"
"5,Hedo Türkoğlu\turkohe01,SF,6-10,220,March 19 1979,tr,1,"
"3,Gerald Wallace\wallage01,SF,6-7,215,July 23 1982,us,R,Alabama"
"4,Chris Webber\webbech01,PF,6-9,245,March 1 1973,us,8,Michigan"
